timestampID,Bandwidth
1506011561,51.1
1506011573,51.13
1506011585,51.62
1506011596,51.38
1506011608,51.79
1506011620,51.03
1506011631,51.52
1506011643,50.7
1506011655,50.38
1506011667,50.61
1506011679,50.81
1506011690,50.93
1506011702,51.17
1506011714,49.85
1506011726,50.63
1506011737,50.73
1506011749,50.84
1506011763,50.61
1506011774,49.67
1506011786,50.86
1506011798,50.05
1506011810,49.43
1506011822,50.38
1506011834,49.96
1506011846,50.9
1506011858,50.85
1506011869,49.99
1506011882,50.38
1506011893,49.48
1506011905,23.29
1506011916,16.79
1506011928,21.04
1506011939,18.22
1506011951,24.95
1506011963,21.64
1506011974,14.41
1506011986,14.4
1506011998,17.67
1506012009,21.99
1506012021,23.49
1506012033,16.7
1506012044,15.67
1506012056,19.84
1506012067,19.76
1506012079,21.71
1506012091,17.17
1506012103,22.89
1506012114,31.15
1506012126,32.34
1506012137,39.64
1506012149,50.64
1506012161,51.1
1506012173,50.72
1506012185,51.27
1506012197,50.5
1506012209,50.47
1506012221,50.55
1506012233,49.29
1506012245,50.24
1506012256,50.2
1506012268,51.35
1506012280,48.9
1506012292,50.41
1506012304,50.18
1506012316,50.95
1506012328,51.17
1506012339,50.91
1506012352,49.92
1506012363,50.48
1506012375,50.22
1506012386,31.68
1506012398,17.65
1506012409,25.64
1506012421,24.56
1506012433,13.49
1506012444,20.2
1506012456,24.49
1506012467,34.42
1506012479,32.18
1506012491,29.33
1506012502,32.55
1506012514,26.47
1506012525,16.3
1506012537,25.84
1506012548,19.37
1506012560,15.07
1506012572,21.63
1506012583,13.24
1506012595,13.22
1506012606,12.15
1506012618,13.63
1506012629,12.18
1506012641,12.29
1506012653,12.63
1506012664,9.39
1506012676,9.16
1506012687,9.23
1506012699,7.84
1506012711,9.21
1506012723,8.46
1506012734,8.18
1506012746,5.47
1506012757,7.56
1506012769,6.77
1506012781,6.73
1506012793,6.61
1506012804,5.66
1506012816,6.62
1506012828,7.3
1506012839,4.56
1506012851,3.75
1506012863,4.08
1506012876,3.7
1506012887,4.06
1506012900,2.92
1506012913,2.87
1506012926,3.21
1506012937,2.86
1506012949,1.59
1506012962,1.41
1506012974,1.98
1506012986,1.79
1506012998,1.63
1506013010,1.77
1506013022,8.74
1506013034,1.76
1506013046,1.67
1506013058,2.11
1506013069,13.51
1506013081,22.07
1506013093,27.17
1506013106,30.22
1506013117,20.29
1506013129,29.17
1506013141,43.29
1506013153,50.28
1506013164,51.14
1506013176,51.59
1506013188,51.2
1506013199,51.46
1506013212,50.85
1506013224,50.58
1506013235,23.81
1506013248,21.5
1506013259,17.73
1506013271,19.82
1506013283,31.08
1506013295,45.59
1506013307,51.13
1506013318,51.0
1506013330,51.1
1506013342,51.05
1506013354,51.36
1506013365,50.54
1506013377,24.34
1506013388,19.87
1506013400,20.74
1506013412,17.96
1506013424,15.69
1506013435,22.79
1506013447,29.08
1506013458,27.12
1506013470,16.44
1506013482,20.84
1506013494,23.3
1506013505,29.39
1506013517,42.33
1506013529,8.39
1506013540,8.17
1506013552,7.2
1506013564,7.8
1506013575,6.38
1506013587,8.28
1506013599,7.67
1506013610,7.14
1506013622,6.58
1506013634,7.14
1506013645,6.33
